essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
2	3	"The features of the setting affected the cyclist in a negative way. He was in the desert, which is dry and hot. �I was traveling through the high deserts of California in June.""(Kurmaskie @NUM1). Also, the  temperature was hot and made every thing around him hot, �brackish water faling somewhere in the neighborhood of two hundred degrees"" (Kurmaskie @NUM1). Since he was in the desert, there was no escape from the sun. The text  states, �The sun was beginning to beat down�(Kurmaskie @NUM3). The cyclist was all alone in the road with none around him either so into he passed out, no one could help him. � and the growing realization that I could drop from heatstroke on a gorgous day in June�(Kurmaskie @NUM1). ""About forty miles into the pedal, I arrived at the first �town� but on that morning it fit the traditional definition of a ghost town."" (Kurmaskie @NUM3). Thesettings that the cyclist was riding in wasn't good ones and so they negativly affected him; causing him to be dehydrated and tiredin the end."	2	2		2																					
4	3	I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn�t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  	1	1		1																					
10	3	In the story, �Rough Road Ahead: Do Not Exceed Posted Speed Limit� written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, �the sun was beginning to beat down.� @CAPS1 makes any task difficult because the sun drain�s a person�s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; �The water bottle contained only dehydration which can cause death. Joe Kurmaskie�s story, �Rough Road Ahead. Do Not Exceed Posted Speed Limit,� represents how certain conditions of an environment can affect a cyclist.  	2	3		3																					
11	3	The setting of the authors � shortcut� effected his performance and strength tremendously . whether it was the hills, heat or barren landscape all three took their toll on Joe Kurmaskie. Not only that, but his lack of water depleted his energy as well.� Flat road was repalced by short rolling hills.� The hills were a tough thing to pass since Joe was being drained of energy. He overcame this exhaustion when a building came into views.� I wiped the sweat from my eyes to make sure it wasn�t a mirage, and tried not to get too excited with what I believed was my last burst of energy. I manouvered down the hill.� The authour overcame all the problems ne faced even though it was difficult. He seems to have written this piece to exaggrate how important it is to keep going when you want to give up. Winston churchill once said, � success is not final, failure is not fatal: it is the courage it takes to continues that counts.� I believe that @PERSON2 agrees.	3	2		3																					
13	3	"There was many features that affected the cyclist such as heat and lack of water. The cyclist was drinking a lot of water throughout the story and ends up only having little water left. �I eased past, trying to keep my balance in my dehydrated state.� That shows he wasn�t prepared with enough water for his trip to Yosemite. Without water he/she would die from the heat. �Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heat stroke"" This states that he @CAPS1 the danger of not having enough water in his system. Features such as water and heat affected him/her throughout the story. Not having enough water could make him/her lose more sweat and the heat is making him lose even more sweat which can cause extreme heatstroke."	3	2		3																					
17	3	Many different characteristics in a setting and determine the outcome of an event there. Im the story, Rough Road Ahead Do Not Exceed Posted Speed Limit, the cyclists journey was affected my a few weather relouded things. The heat was an extreme thing that showed him down and in most cases detened him from reading his maximum level of ability. Also the time of your in which this labes place, greatly affects the cyclist. Lastly, the type of road and amount of ground that he has to cover after affects his performance. Overall, setting can be a determining factor in a journey as they life	2	2		2																					
19	3	In the story �Rough Road Ahead� by @PERSON1, the features of the setting affect the cyclist in many ways. One way the setting affects the cyclist is, in the desert, the cyclist drank more water than before. For example, the text states �I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June. You will drink more water in a desert than in a forest. If you go cycling, be aware of the settings around you because they will affect you.	1	1		1																					
20	3	"Some features of the setting affect the cyclist. First the cyclist followed the old codgers advice of how to get to Yosemite National Park. Their advice was no use and didnt help her in the end. Next, �a tarlike substance oozed out� of what she thoot was going to be water. Then the terrain changed to �short, rolling hills�, which wasnt helping, her bike better. Lastly, ""tumble weeds crossed my path and a ridiculously large snake�, slowed her down. All of these road blocks in the setting affected the cyclist."	2	2		2																					
21	3	The features of the setting that affect the cyclist are the lack of water, out of date information, and rolling hills. If he had up to date information then he would probably have got water from a town that�s not empty or almost empty like a �ghost town� as the cyclist said.	2	1		2																					
22	3	The cyclist has a couple things if he racing and the wind is blowing then theres a problem and he has to follow traffic law and ride on the right side or the road.	0	1		1																					
