essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
1	3	The features of the setting affect the cyclist in many ways. The features of the setting that affect the cyclist is the lact of information on were to go and the lack of water. This was a problem because he needed water for his trip and directions on were to go.  	1	1		1																					
4	3	I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn�t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  	1	1		1																					
5	3	The setting effects the cyclist because of the setting were diffrent the story would not of made sense. The setting of the story is not and dry with scaterd ghost towns. When he reaches the first �town� he sees �One ramshackle sheds several rusty pumps and a coral that couldnt hold the lamesh mule.� If the setting had the problem of no water so there would be no conflict in the story, �In the story the speeker says �I was travling through the high deserts of California� that are very hot and dry, and he says �This causes the problem of it being hot and dry if the seting was a forest in @DATE1 he wouldn�t have as much of a problem needing water which would of made the story much less exciting.	2	2		2																					
7	3	The cyclist was riding through a tower when he stopped for directions. These old men told him to take a short cut and he did and got lost. He was in a ghost town in the desert. In conclusion the desert is hot.	1	1		1																					
8	3	The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don�t care about the cyclist. I�m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don�t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don�t care about the affects of the cyclist.	0	0		0																					
9	3	The essay �Rough Road Ahead: Do Not Exceed Posted Speed Limit� describes a man�s bicycle ride through California. Now, California is very hot during the summer, which is when the cyclist is riding. This setting greatly affects the man�s journey. It made it very difficult for him to finish his ride. He drank most of his water in the beginning of his ride so he gets very dehydrated. The text states, �The water bottles contained only a few tantalizing sips.� As you can see the setting makes this man�s bikeride very hard.	2	2		2																					
10	3	In the story, �Rough Road Ahead: Do Not Exceed Posted Speed Limit� written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, �the sun was beginning to beat down.� @CAPS1 makes any task difficult because the sun drain�s a person�s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; �The water bottle contained only dehydration which can cause death. Joe Kurmaskie�s story, �Rough Road Ahead. Do Not Exceed Posted Speed Limit,� represents how certain conditions of an environment can affect a cyclist.  	2	3		3																					
14	3	The features in the setting affected the cyclist in many ways. Initially, when the cyclist went through the road with the big snake in the middle of it made him keep cations and very unease. Furthermore, the desert and nothing around gave the cyclist of abandoness and no help for when he is I trouble. Finally, the cyclist is greatly relieved when he sees the bait store and that people are there. The features in the setting greatly affected the cyclist on his ride.	1	2		2																					
15	3	The features of the setting in �Rough Road Ahead:Do Not Exceed Posted Speed Limit,� by Joe kurmaksie,greatly affect the cyclist and put him through many hardships that he probably could have avoided.The old cotagers told him about a path they thought was right,but was hard and did not get him to the right place.The features of the setting are described as �flat road was replaced by short rolling hills.�	1	1		1																					
19	3	In the story �Rough Road Ahead� by @PERSON1, the features of the setting affect the cyclist in many ways. One way the setting affects the cyclist is, in the desert, the cyclist drank more water than before. For example, the text states �I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June. You will drink more water in a desert than in a forest. If you go cycling, be aware of the settings around you because they will affect you.	1	1		1																					
